country,region,bbox
Afghanistan,Badakhshan,"35.44241059007663,69.99854943181077,38.47367340200013,74.89230676300008"
Afghanistan,Badghis,"34.5093667668628,62.651762729566315,36.0317323437726,65.04732710206406"
Afghanistan,Baghlan,"35.006700750838945,68.005234408641,36.571204739407165,69.9610323420689"
Afghanistan,Balkh,"35.66725474700894,66.2478739774021,37.385212708,68.18909915610112"
Afghanistan,Bamyan,"33.93792877938961,66.33060794540035,35.469618232295545,68.28268517398158"
Afghanistan,Farah,"31.388741287780192,60.56150191200004,33.51668834119397,64.73840538909741"
Afghanistan,Faryab,"35.18699982398266,63.88739790189163,37.241997468508316,65.8166858250907"
Afghanistan,Ghazni,"32.07184113206256,66.8291821628265,34.20933340081575,68.80017296680893"
Afghanistan,Ghor,"33.12257802995208,63.07075524305998,35.26973379198091,66.7740950866189"
Afghanistan,Hilmand,"29.386605326000037,62.60258113161393,33.365896510915206,65.36219160256036"
Afghanistan,Hirat,"32.78205617904939,60.48677779100012,35.63090118400005,64.48250369658831"
Afghanistan,Jawzjan,"35.90953970009707,65.10179406064736,37.57837921200009,66.56893964964507"
Afghanistan,Kabul,"34.143135891408235,68.84006717336132,34.89538971596261,69.92904463140457"
Afghanistan,Kandahar,"29.540161845000043,64.49947701700006,32.57522125905382,67.77506677200012"
Afghanistan,Kapisa,"34.6392813178785,69.27838667160756,35.181883856954414,69.91617719901848"
Afghanistan,Khost,"33.011350078000035,69.34081180202304,33.7420909951033,70.30157922400008"
Afghanistan,Kunar,"34.53104503000412,70.57443159364311,35.46419378800003,71.6379317630001"
Afghanistan,Kunduz,"36.29695791317715,68.0246130720356,37.3381354780001,69.33936486209865"
Afghanistan,Laghman,"34.402758286965366,69.79685631726522,35.23578237655539,70.62016523583691"
Afghanistan,Logar,"33.6024195418284,68.71185794468835,34.36407847813922,69.89757368377843"
Afghanistan,Nangarhar,"33.93870473200006,69.47920128790906,34.80020172852693,71.12638675900007"
Afghanistan,Nimroz,"29.40781850200007,60.844378703000075,32.253147895558925,63.56963951974802"
Afghanistan,Nuristan,"34.90368378457896,69.91989790206651,36.03080174600376,71.5934900310001"
Afghanistan,Paktika,"31.60256825800012,67.81511681528877,33.419510810575446,69.48721032700013"
Afghanistan,Paktya,"33.153144640013124,68.76880537286962,34.07848867381324,69.9964781429519"
Afghanistan,Parwan,"35.08085643207863,69.24412519692027,35.892253933572135,70.27336469882175"
Afghanistan,Parwan,"34.588302517447175,68.18398318907288,35.420112210210334,69.6151103050965"
Afghanistan,Samangan,"35.352467759979106,66.83460818911658,36.647944241233745,68.53140384281306"
Afghanistan,Sari Pul,"34.784362901027066,65.40559980658577,36.58768952115446,67.0260693696057"
Afghanistan,Takhar,"35.7914073758497,69.14712853435435,37.618170065000086,70.47758995980877"
Afghanistan,Uruzgan,"32.27405101234433,65.17781009296141,33.319646103884565,67.01149661577614"
Afghanistan,Uruzgan,"33.060230413902445,65.21909956169537,34.4069440780068,67.3831535184201"
Afghanistan,Wardak,"33.676394355015475,67.24827802910772,34.800305081314434,68.96915490117772"
Afghanistan,Zabul,"31.544328110753668,66.18208987824528,33.0651655137774,68.09834042596987"
Akrotiri Sovereign Base Area,Akrotiri,"34.56854889500005,32.760102265000114,34.70094829400007,33.030284050000034"
Aland,Brändö,"60.44896067900004,21.059255405000044,60.48078034100007,21.09669030000009"
Aland,Eckerö,"60.12995026200008,19.513194207000083,60.26048411700003,19.67432701900009"
Aland,Föglö,"59.95362434600008,20.28131531100007,60.07363515800006,20.617930535000085"
Aland,Jomala,"60.073919989000046,19.747569207000083,60.18622467712714,20.05046634200005"
Aland,Kökar,"59.90448639500005,20.862071160000085,59.95799388200004,20.99659264400009"
Aland,Kumlinge,"60.194566148000035,20.66342207100007,60.36786530200004,20.853037957000083"
Aland,Lemland,"59.97143592200007,20.02525632700008,60.094974635000085,20.225218278000057"
Aland,Lumparland,"60.06049225500004,20.19825280000009,60.149603583000044,20.297618035000085"
Aland,Mariehamn,"60.04767487200007,19.910329622813833,60.11076863196678,19.965993686000047"
Aland,Sottunga,"60.10919830900008,20.635508660000085,60.15135325700004,20.688243035000085"
Aland,Vårdö,"60.19676341400003,20.34538821700005,60.26968008000006,20.441416863000086"
Albania,Berat,"40.35526317025909,19.73035159684872,40.88169098595023,20.44260786296246"
Albania,Dibër,"41.32158509007979,19.803887159564738,41.89919993792677,20.550920858000097"
Albania,Durrës,"41.00932009234058,19.440603061000047,41.50981802008556,20.235747105444545"
Albania,Durrës,"41.24399445188243,19.393239780000044,41.58996816749692,19.91111575708652"
Albania,Elbasan,"40.71568044669522,19.66921837672669,41.388688463202016,20.60239139204907"
Albania,Fier,"40.4208922388857,19.30437259200005,41.070439155542545,19.90491458533984"
Albania,Gjirokastër,"39.78429107700005,19.758618605364347,40.52729401320812,20.615361180773846"
Albania,Korçë,"40.08101733957852,20.293159620719905,41.086272625000035,21.036679321000065"
Albania,Kukës,"41.82065176007063,19.787609084291773,42.557765199000116,20.59928999800013"
Albania,Lezhë,"41.55705027904713,19.462357619208717,42.02821015137738,20.267528109634554"
Albania,Shkodër,"41.835710702892015,19.272032511000106,42.654813538000084,20.242878452278717"
Albania,Vlorë,"39.637013245000034,19.28956139400009,40.65873301941332,20.299576529000092"
Algeria,Adrar,"18.975561218000067,-5.661524745999969,31.658584703221436,3.7902909683534745"
Algeria,Aïn Defla,"35.86049876600521,1.5531665378054527,36.44315054036514,2.661109246294643"
Algeria,Aïn Témouchent,"35.08739349971023,-1.361975709870848,35.62323639500005,-0.6294909332599445"
Algeria,Alger,"36.64993378441659,2.966310256213319,36.814968166000085,3.2298083844493704"
Algeria,Annaba,"36.612442532197065,7.262676963171316,37.08299388200004,7.79859459700009"
Algeria,Batna,"34.764493313015976,4.777000767171671,35.91579254778782,6.787265659182822"
Algeria,Béchar,"28.207244981071028,-6.000765497129976,32.32730357499997,0.3991284519165106"
Algeria,Béjaïa,"36.22290558472491,4.356354608178606,36.89801666900007,5.475459424912515"
Algeria,Biskra,"33.572679754966714,4.184427118017084,35.288440660008405,6.749541863865886"
Algeria,Blida,"36.353285223734076,2.476262647802969,36.713469957072846,3.510359735213626"
Algeria,Bordj Bou Arréridj,"35.77732554843527,4.084329868228849,36.42477956822245,5.254180942296614"
Algeria,Bouira,"35.86111888273024,3.2830351086832934,36.69579661692029,4.404465366283603"
Algeria,Boumerdès,"36.597327175109,3.1732690760000537,36.917222398000035,4.039463159896911"
Algeria,Chlef,"35.841559353081664,0.7023657570740056,36.54791901200008,1.7192029145828087"
Algeria,Constantine,"36.10689199486967,6.3177335948295195,36.60789500594973,7.048283318720166"
Algeria,Djelfa,"32.840760606416836,2.2857316424013447,35.804739895329874,5.121785922582262"
Algeria,El Bayadh,"30.708694363054406,-0.40113277795535396,34.438182480736884,2.3448494809188105"
Algeria,El Oued,"32.00019151300005,5.008046094951283,34.49980662727398,9.063303822000108"
Algeria,El Tarf,"36.404134832956174,7.649745313895096,36.95807526200008,8.642552124000105"
Algeria,Ghardaïa,"29.036367499560413,1.9434269547901408,33.02963796631906,4.978280469667936"
Algeria,Guelma,"36.04250315969307,6.93795413577476,36.7261306829846,7.98786421136424"
Algeria,Illizi,"24.000137321000082,5.81574873181853,30.022793077538495,11.710140444000075"
